context,question,answer,start_positions,end_positions
"Жапония-эксклюзивті манга сериялары, Акира Химекава жазған және суреттелген ымырт ханшайымы, 2016 жылдың 8 ақпанында шығарылды. Сериялар тек Shogakukan компаниясының Mangaone Mobile қосымшасы арқылы қол жетімді.Манга бейімдеуі оның негізделген ойынның алғашқы шығарылғанынан кейін он жылға жуық басталды, ол жоғары анықтық қайта шығарылғанға дейін бір ай бұрын басталды.",Ымырт ханшайымы комикс кітаптарын кім жариялады?,Шогакұқан,pass,pass
"Жапония-эксклюзивті манга сериялары, Акира Химекава жазған және суреттелген ымырт ханшайымы, 2016 жылдың 8 ақпанында шығарылды. Сериялар тек Shogakukan компаниясының Mangaone Mobile қосымшасы арқылы қол жетімді.Манга бейімдеуі оның негізделген ойынның алғашқы шығарылғанынан кейін он жылға жуық басталды, ол жоғары анықтық қайта шығарылғанға дейін бір ай бұрын басталды.",Ымырт ханшайым мангасына қандай құрылғы қол жеткізе алады?,жылжымалы,pass,pass
"Майсыз (2015) - EON Productions шығарған жиырма төртінші Джеймс облигациясы.Оның төртінші қойылымында Даниэль Крейгпен, Джеймс Бон, Кристоф Вальс Эрнст Ставро Блоцельд сияқты, кейіпкердің серияға қайта енуін белгілейді.Оны Сэм Мендес өзінің екінші Джеймс облыстық фильмі ретінде көрсетті, ал аспан астынан кейін, Джон Логан, Нил Пурвис, Роберт Уэйд және Джез футворт.Оны Metro-Goldwyn-Mayer және Колумбия суреттері таратады.Бюджет шамамен 245 миллион доллармен, бұл ең қымбат облигациялар және ең қымбат фильмдердің бірі.",Қай компания көрерменді жасады?,EON Productions,16,31
"Майсыз (2015) - EON Productions шығарған жиырма төртінші Джеймс облигациясы.Оның төртінші қойылымында Даниэль Крейгпен, Джеймс Бон, Кристоф Вальс Эрнст Ставро Блоцельд сияқты, кейіпкердің серияға қайта енуін белгілейді.Оны Сэм Мендес өзінің екінші Джеймс облыстық фильмі ретінде көрсетті, ал аспан астынан кейін, Джон Логан, Нил Пурвис, Роберт Уэйд және Джез футворт.Оны Metro-Goldwyn-Mayer және Колумбия суреттері таратады.Бюджет шамамен 245 миллион доллармен, бұл ең қымбат облигациялар және ең қымбат фильмдердің бірі.",Дүниежүзілік жұлдыз кім?,Даниел Крейг,pass,pass
"Майсыз (2015) - EON Productions шығарған жиырма төртінші Джеймс облигациясы.Оның төртінші қойылымында Даниэль Крейгпен, Джеймс Бон, Кристоф Вальс Эрнст Ставро Блоцельд сияқты, кейіпкердің серияға қайта енуін белгілейді.Оны Сэм Мендес өзінің екінші Джеймс облыстық фильмі ретінде көрсетті, ал аспан астынан кейін, Джон Логан, Нил Пурвис, Роберт Уэйд және Джез футворт.Оны Metro-Goldwyn-Mayer және Колумбия суреттері таратады.Бюджет шамамен 245 миллион доллармен, бұл ең қымбат облигациялар және ең қымбат фильмдердің бірі.",Даниел Крейг өзінде қандай рөл атқарады?,Джеймс Бонд,pass,pass
"Майсыз (2015) - EON Productions шығарған жиырма төртінші Джеймс облигациясы.Оның төртінші қойылымында Даниэль Крейгпен, Джеймс Бон, Кристоф Вальс Эрнст Ставро Блоцельд сияқты, кейіпкердің серияға қайта енуін белгілейді.Оны Сэм Мендес өзінің екінші Джеймс облыстық фильмі ретінде көрсетті, ал аспан астынан кейін, Джон Логан, Нил Пурвис, Роберт Уэйд және Джез футворт.Оны Metro-Goldwyn-Mayer және Колумбия суреттері таратады.Бюджет шамамен 245 миллион доллармен, бұл ең қымбат облигациялар және ең қымбат фильмдердің бірі.",Сэм қандай 007 фильмді жөндей бастады?,Аспан,pass,pass
"Майсыз (2015) - EON Productions шығарған жиырма төртінші Джеймс облигациясы.Оның төртінші қойылымында Даниэль Крейгпен, Джеймс Бон, Кристоф Вальс Эрнст Ставро Блоцельд сияқты, кейіпкердің серияға қайта енуін белгілейді.Оны Сэм Мендес өзінің екінші Джеймс облыстық фильмі ретінде көрсетті, ал аспан астынан кейін, Джон Логан, Нил Пурвис, Роберт Уэйд және Джез футворт.Оны Metro-Goldwyn-Mayer және Колумбия суреттері таратады.Бюджет шамамен 245 миллион доллармен, бұл ең қымбат облигациялар және ең қымбат фильмдердің бірі.",Дәл қазір бұл қанша ақша алды?,245 доллар,pass,pass
"Майсыз (2015) - EON Productions шығарған жиырма төртінші Джеймс облигациясы.Оның төртінші қойылымында Даниэль Крейгпен, Джеймс Бон, Кристоф Вальс Эрнст Ставро Блоцельд сияқты, кейіпкердің серияға қайта енуін белгілейді.Оны Сэм Мендес өзінің екінші Джеймс облыстық фильмі ретінде көрсетті, ал аспан астынан кейін, Джон Логан, Нил Пурвис, Роберт Уэйд және Джез футворт.Оны Metro-Goldwyn-Mayer және Колумбия суреттері таратады.Бюджет шамамен 245 миллион доллармен, бұл ең қымбат облигациялар және ең қымбат фильмдердің бірі.",Йамс облигацияларының неше облыстары бар?,жиырма төрт,41,52
"Майсыз (2015) - EON Productions шығарған жиырма төртінші Джеймс облигациясы.Оның төртінші қойылымында Даниэль Крейгпен, Джеймс Бон, Кристоф Вальс Эрнст Ставро Блоцельд сияқты, кейіпкердің серияға қайта енуін белгілейді.Оны Сэм Мендес өзінің екінші Джеймс облыстық фильмі ретінде көрсетті, ал аспан астынан кейін, Джон Логан, Нил Пурвис, Роберт Уэйд және Джез футворт.Оны Metro-Goldwyn-Mayer және Колумбия суреттері таратады.Бюджет шамамен 245 миллион доллармен, бұл ең қымбат облигациялар және ең қымбат фильмдердің бірі.",Қандай облигация фильмі ең қымбат болды?,Көрергіш,pass,pass
"Майсыз (2015) - EON Productions шығарған жиырма төртінші Джеймс облигациясы.Оның төртінші қойылымында Даниэль Крейгпен, Джеймс Бон, Кристоф Вальс Эрнст Ставро Блоцельд сияқты, кейіпкердің серияға қайта енуін белгілейді.Оны Сэм Мендес өзінің екінші Джеймс облыстық фильмі ретінде көрсетті, ал аспан астынан кейін, Джон Логан, Нил Пурвис, Роберт Уэйд және Джез футворт.Оны Metro-Goldwyn-Mayer және Колумбия суреттері таратады.Бюджет шамамен 245 миллион доллармен, бұл ең қымбат облигациялар және ең қымбат фильмдердің бірі.",Джеймс Бонд ретінде қанша фильм бар?,төрт,48,52
"Майсыз (2015) - EON Productions шығарған жиырма төртінші Джеймс облигациясы.Оның төртінші қойылымында Даниэль Крейгпен, Джеймс Бон, Кристоф Вальс Эрнст Ставро Блоцельд сияқты, кейіпкердің серияға қайта енуін белгілейді.Оны Сэм Мендес өзінің екінші Джеймс облыстық фильмі ретінде көрсетті, ал аспан астынан кейін, Джон Логан, Нил Пурвис, Роберт Уэйд және Джез футворт.Оны Metro-Goldwyn-Mayer және Колумбия суреттері таратады.Бюджет шамамен 245 миллион доллармен, бұл ең қымбат облигациялар және ең қымбат фильмдердің бірі.",Қай екі кино студиясы Джеймс Бонд киноларын таратты?,Метро-Голдвин-Майер және Колумбия суреттері,pass,pass
"Майсыз (2015) - EON Productions шығарған жиырма төртінші Джеймс облигациясы.Оның төртінші қойылымында Даниэль Крейгпен, Джеймс Бон, Кристоф Вальс Эрнст Ставро Блоцельд сияқты, кейіпкердің серияға қайта енуін белгілейді.Оны Сэм Мендес өзінің екінші Джеймс облыстық фильмі ретінде көрсетті, ал аспан астынан кейін, Джон Логан, Нил Пурвис, Роберт Уэйд және Джез футворт.Оны Metro-Goldwyn-Mayer және Колумбия суреттері таратады.Бюджет шамамен 245 миллион доллармен, бұл ең қымбат облигациялар және ең қымбат фильмдердің бірі.",Көрермен кім басқарды?,Сэм мендес,pass,pass
"Әлемдік қылмыстық ұйымның ғаламдық құрбылары, топтың алғашқы келбетін ЕСЕО-ның алғашқы келбетіне ие болып көреді, ол EON Productions фильмінде 1971 жылдан бері мәңгі, [n 2] және Крейгтің фильмдер сериясын бір-бірімен байланыстырады.Бірнеше рет қайталанатын Джеймс, соның ішінде M, Q және Eve Moneypenny-ді, q және very moneypenny-ді, Доктор Мадлен Сванн, Док-Бауанн, Эндрю Скотт, Эндрю Скотт, Люсия Синуччи сияқты.",Бас кейіпкердің жауы қандай?,Көрергіш,pass,pass
"Әлемдік қылмыстық ұйымның ғаламдық құрбылары, топтың алғашқы келбетін ЕСЕО-ның алғашқы келбетіне ие болып көреді, ол EON Productions фильмінде 1971 жылдан бері мәңгі, [n 2] және Крейгтің фильмдер сериясын бір-бірімен байланыстырады.Бірнеше рет қайталанатын Джеймс, соның ішінде M, Q және Eve Moneypenny-ді, q және very moneypenny-ді, Доктор Мадлен Сванн, Док-Бауанн, Эндрю Скотт, Эндрю Скотт, Люсия Синуччи сияқты.",Бастапқыда қай фильмде болды?,Гауһар мәңгі,pass,pass
"Әлемдік қылмыстық ұйымның ғаламдық құрбылары, топтың алғашқы келбетін ЕСЕО-ның алғашқы келбетіне ие болып көреді, ол EON Productions фильмінде 1971 жылдан бері мәңгі, [n 2] және Крейгтің фильмдер сериясын бір-бірімен байланыстырады.Бірнеше рет қайталанатын Джеймс, соның ішінде M, Q және Eve Moneypenny-ді, q және very moneypenny-ді, Доктор Мадлен Сванн, Док-Бауанн, Эндрю Скотт, Эндрю Скотт, Люсия Синуччи сияқты.",Алдыңғы фильмдерден келген үш тұлға көрерменде пайда болады?,"М, q және kee moneypenny",pass,pass
"Әлемдік қылмыстық ұйымның ғаламдық құрбылары, топтың алғашқы келбетін ЕСЕО-ның алғашқы келбетіне ие болып көреді, ол EON Productions фильмінде 1971 жылдан бері мәңгі, [n 2] және Крейгтің фильмдер сериясын бір-бірімен байланыстырады.Бірнеше рет қайталанатын Джеймс, соның ішінде M, Q және Eve Moneypenny-ді, q және very moneypenny-ді, Доктор Мадлен Сванн, Док-Бауанн, Эндрю Скотт, Эндрю Скотт, Люсия Синуччи сияқты.",Хинкс мырзаның рөлі қай актер ойнайды?,Дэйв Баутиста,pass,pass
"Әлемдік қылмыстық ұйымның ғаламдық құрбылары, топтың алғашқы келбетін ЕСЕО-ның алғашқы келбетіне ие болып көреді, ол EON Productions фильмінде 1971 жылдан бері мәңгі, [n 2] және Крейгтің фильмдер сериясын бір-бірімен байланыстырады.Бірнеше рет қайталанатын Джеймс, соның ішінде M, Q және Eve Moneypenny-ді, q және very moneypenny-ді, Доктор Мадлен Сванн, Док-Бауанн, Эндрю Скотт, Эндрю Скотт, Люсия Синуччи сияқты.",Моника Беллуччи қандай рөл атқарады?,Люсия Сиарра,pass,pass
"Әлемдік қылмыстық ұйымның ғаламдық құрбылары, топтың алғашқы келбетін ЕСЕО-ның алғашқы келбетіне ие болып көреді, ол EON Productions фильмінде 1971 жылдан бері мәңгі, [n 2] және Крейгтің фильмдер сериясын бір-бірімен байланыстырады.Бірнеше рет қайталанатын Джеймс, соның ішінде M, Q және Eve Moneypenny-ді, q және very moneypenny-ді, Доктор Мадлен Сванн, Док-Бауанн, Эндрю Скотт, Эндрю Скотт, Люсия Синуччи сияқты.",Қайталанатын Джеймс облигацияларының кейіпкерлері көрерменде пайда болады?,"М, q және kee moneypenny",pass,pass
"Әлемдік қылмыстық ұйымның ғаламдық құрбылары, топтың алғашқы келбетін ЕСЕО-ның алғашқы келбетіне ие болып көреді, ол EON Productions фильмінде 1971 жылдан бері мәңгі, [n 2] және Крейгтің фильмдер сериясын бір-бірімен байланыстырады.Бірнеше рет қайталанатын Джеймс, соның ішінде M, Q және Eve Moneypenny-ді, q және very moneypenny-ді, Доктор Мадлен Сванн, Док-Бауанн, Эндрю Скотт, Эндрю Скотт, Люсия Синуччи сияқты.",Қандай актриса доктор Мадлен Swann-ді көреді?,Ле сейдук,pass,pass
"Әлемдік қылмыстық ұйымның ғаламдық құрбылары, топтың алғашқы келбетін ЕСЕО-ның алғашқы келбетіне ие болып көреді, ол EON Productions фильмінде 1971 жылдан бері мәңгі, [n 2] және Крейгтің фильмдер сериясын бір-бірімен байланыстырады.Бірнеше рет қайталанатын Джеймс, соның ішінде M, Q және Eve Moneypenny-ді, q және very moneypenny-ді, Доктор Мадлен Сванн, Док-Бауанн, Эндрю Скотт, Эндрю Скотт, Люсия Синуччи сияқты.",Хинкс мырзаның қандай актураны бейнелейді?,Дэйв Баутиста,pass,pass
"Әлемдік қылмыстық ұйымның ғаламдық құрбылары, топтың алғашқы келбетін ЕСЕО-ның алғашқы келбетіне ие болып көреді, ол EON Productions фильмінде 1971 жылдан бері мәңгі, [n 2] және Крейгтің фильмдер сериясын бір-бірімен байланыстырады.Бірнеше рет қайталанатын Джеймс, соның ішінде M, Q және Eve Moneypenny-ді, q және very moneypenny-ді, Доктор Мадлен Сванн, Док-Бауанн, Эндрю Скотт, Эндрю Скотт, Люсия Синуччи сияқты.",Гауһар қашан мәңгі босатылды?,1971 ж,143,149
"Дүниежүзілік Лондондағы Альберт Холлдың әлемдік Альберт залында Біріккен түні 2015 жылы 26 қазанда Дүниежүзілік премьера, одан кейін Дүниежүзілік шығарылымда.Ол Америка Құрама Штаттарында 2015 жылғы 6 қарашада шығарылдыМатериалдық шолулар алғанға байланысты аралас пікірлер алды;Оның ұзындығы үшін сынға ұшырағанымен, жаңа кейіпкерлер үшін экранның жетіспеуі және жазу, ол өзінің әрекеті тізбегі мен кинематографиясына мақтауға ие болды.«Қабырғаға жазу» тақырыбы, алдыңғы тақырыппен салыстырғанда аралас пікірлер алды;Соған қарамастан, ол ең жақсы түпнұсқа әні үшін алтын глобусқа ие болды және сол санаттағы академия марапатына ұсынылды.2016 жылғы 20 ақпандағы жағдай бойынша [Жаңарту], бүкіл әлемде 879 миллион доллардан асып түсті.",Ұлыбританияда алғаш рет қай күні болды?,26 қазан 2015 ж,pass,pass
"Дүниежүзілік Лондондағы Альберт Холлдың әлемдік Альберт залында Біріккен түні 2015 жылы 26 қазанда Дүниежүзілік премьера, одан кейін Дүниежүзілік шығарылымда.Ол Америка Құрама Штаттарында 2015 жылғы 6 қарашада шығарылдыМатериалдық шолулар алғанға байланысты аралас пікірлер алды;Оның ұзындығы үшін сынға ұшырағанымен, жаңа кейіпкерлер үшін экранның жетіспеуі және жазу, ол өзінің әрекеті тізбегі мен кинематографиясына мақтауға ие болды.«Қабырғаға жазу» тақырыбы, алдыңғы тақырыппен салыстырғанда аралас пікірлер алды;Соған қарамастан, ол ең жақсы түпнұсқа әні үшін алтын глобусқа ие болды және сол санаттағы академия марапатына ұсынылды.2016 жылғы 20 ақпандағы жағдай бойынша [Жаңарту], бүкіл әлемде 879 миллион доллардан асып түсті.",Дәл қазірдің бірінші скринингі қайда болды?,Лондондағы Royal Albert Hall,pass,pass
"Дүниежүзілік Лондондағы Альберт Холлдың әлемдік Альберт залында Біріккен түні 2015 жылы 26 қазанда Дүниежүзілік премьера, одан кейін Дүниежүзілік шығарылымда.Ол Америка Құрама Штаттарында 2015 жылғы 6 қарашада шығарылдыМатериалдық шолулар алғанға байланысты аралас пікірлер алды;Оның ұзындығы үшін сынға ұшырағанымен, жаңа кейіпкерлер үшін экранның жетіспеуі және жазу, ол өзінің әрекеті тізбегі мен кинематографиясына мақтауға ие болды.«Қабырғаға жазу» тақырыбы, алдыңғы тақырыппен салыстырғанда аралас пікірлер алды;Соған қарамастан, ол ең жақсы түпнұсқа әні үшін алтын глобусқа ие болды және сол санаттағы академия марапатына ұсынылды.2016 жылғы 20 ақпандағы жағдай бойынша [Жаңарту], бүкіл әлемде 879 миллион доллардан асып түсті.",АҚШ-тың көрерменді босату күні қандай болды?,6 қараша 2015 ж,pass,pass
"Дүниежүзілік Лондондағы Альберт Холлдың әлемдік Альберт залында Біріккен түні 2015 жылы 26 қазанда Дүниежүзілік премьера, одан кейін Дүниежүзілік шығарылымда.Ол Америка Құрама Штаттарында 2015 жылғы 6 қарашада шығарылдыМатериалдық шолулар алғанға байланысты аралас пікірлер алды;Оның ұзындығы үшін сынға ұшырағанымен, жаңа кейіпкерлер үшін экранның жетіспеуі және жазу, ол өзінің әрекеті тізбегі мен кинематографиясына мақтауға ие болды.«Қабырғаға жазу» тақырыбы, алдыңғы тақырыппен салыстырғанда аралас пікірлер алды;Соған қарамастан, ол ең жақсы түпнұсқа әні үшін алтын глобусқа ие болды және сол санаттағы академия марапатына ұсынылды.2016 жылғы 20 ақпандағы жағдай бойынша [Жаңарту], бүкіл әлемде 879 миллион доллардан асып түсті.",Дәл қазірдің екі пәні қандай болды?,Әрекеттер тізбегі және кинематография,pass,pass
"Дүниежүзілік Лондондағы Альберт Холлдың әлемдік Альберт залында Біріккен түні 2015 жылы 26 қазанда Дүниежүзілік премьера, одан кейін Дүниежүзілік шығарылымда.Ол Америка Құрама Штаттарында 2015 жылғы 6 қарашада шығарылдыМатериалдық шолулар алғанға байланысты аралас пікірлер алды;Оның ұзындығы үшін сынға ұшырағанымен, жаңа кейіпкерлер үшін экранның жетіспеуі және жазу, ол өзінің әрекеті тізбегі мен кинематографиясына мақтауға ие болды.«Қабырғаға жазу» тақырыбы, алдыңғы тақырыппен салыстырғанда аралас пікірлер алды;Соған қарамастан, ол ең жақсы түпнұсқа әні үшін алтын глобусқа ие болды және сол санаттағы академия марапатына ұсынылды.2016 жылғы 20 ақпандағы жағдай бойынша [Жаңарту], бүкіл әлемде 879 миллион доллардан асып түсті.",Алтын Глобус сыйлығының қай санатына ие болды?,Ең жақсы түпнұсқа ән,pass,pass
"Дүниежүзілік Лондондағы Альберт Холлдың әлемдік Альберт залында Біріккен түні 2015 жылы 26 қазанда Дүниежүзілік премьера, одан кейін Дүниежүзілік шығарылымда.Ол Америка Құрама Штаттарында 2015 жылғы 6 қарашада шығарылдыМатериалдық шолулар алғанға байланысты аралас пікірлер алды;Оның ұзындығы үшін сынға ұшырағанымен, жаңа кейіпкерлер үшін экранның жетіспеуі және жазу, ол өзінің әрекеті тізбегі мен кинематографиясына мақтауға ие болды.«Қабырғаға жазу» тақырыбы, алдыңғы тақырыппен салыстырғанда аралас пікірлер алды;Соған қарамастан, ол ең жақсы түпнұсқа әні үшін алтын глобусқа ие болды және сол санаттағы академия марапатына ұсынылды.2016 жылғы 20 ақпандағы жағдай бойынша [Жаңарту], бүкіл әлемде 879 миллион доллардан асып түсті.",Imax театрларында алғашқы Джеймс облигациясы қандай болды?,Аспан,pass,pass
"Дүниежүзілік Лондондағы Альберт Холлдың әлемдік Альберт залында Біріккен түні 2015 жылы 26 қазанда Дүниежүзілік премьера, одан кейін Дүниежүзілік шығарылымда.Ол Америка Құрама Штаттарында 2015 жылғы 6 қарашада шығарылдыМатериалдық шолулар алғанға байланысты аралас пікірлер алды;Оның ұзындығы үшін сынға ұшырағанымен, жаңа кейіпкерлер үшін экранның жетіспеуі және жазу, ол өзінің әрекеті тізбегі мен кинематографиясына мақтауға ие болды.«Қабырғаға жазу» тақырыбы, алдыңғы тақырыппен салыстырғанда аралас пікірлер алды;Соған қарамастан, ол ең жақсы түпнұсқа әні үшін алтын глобусқа ие болды және сол санаттағы академия марапатына ұсынылды.2016 жылғы 20 ақпандағы жағдай бойынша [Жаңарту], бүкіл әлемде 879 миллион доллардан асып түсті.",Джеймс Бонд Фильмдеріне арналған тақырыптың тақырыбы қандай болды?,Қабырғада жазу,pass,pass
"Мексико-Маллорийдің миссиясынан кейін, Мексикадағы миссиядан кейін, бұрынғы М, 007 Джеймс облигациясының миссиясына сәйкес келді, 007 Джеймс Бондшабуылдан аман қалды.Кейінгі күресте облигина өзінің сақинасын ұрлап, оны стильдендірілген сегіздікпен ұрады, содан кейін оны тікұшақпен ұрып өлтіреді.Лондонға оралғаннан кейін, облигациялар м.ғ.д., КД-мен электр энергиясының ортасында, ХДЕ-мен электр энергиясының ортасында орналасқан у-дағы кезекші, ЖОҒАРЫ ЖОҒАРЫ МИ5 және MI6-дан тұрады.Британия үшін C науқандары басқа 8 елдің қатарына, жаһандық бақылау және интеллектуалды ынтымақтастық жөніндегі ынтымақтастығы және оның ықпалын қалыптастыру және оның әсерін «00» бөлімінен төмендетуге, ескіргенге сенеді.",Қандай мерекеде көтерілісшілер бомбаны бұзуды жоспарлап отыр?,Өлілер күні,pass,pass
"Мексико-Маллорийдің миссиясынан кейін, Мексикадағы миссиядан кейін, бұрынғы М, 007 Джеймс облигациясының миссиясына сәйкес келді, 007 Джеймс Бондшабуылдан аман қалды.Кейінгі күресте облигина өзінің сақинасын ұрлап, оны стильдендірілген сегіздікпен ұрады, содан кейін оны тікұшақпен ұрып өлтіреді.Лондонға оралғаннан кейін, облигациялар м.ғ.д., КД-мен электр энергиясының ортасында, ХДЕ-мен электр энергиясының ортасында орналасқан у-дағы кезекші, ЖОҒАРЫ ЖОҒАРЫ МИ5 және MI6-дан тұрады.Британия үшін C науқандары басқа 8 елдің қатарына, жаһандық бақылау және интеллектуалды ынтымақтастық жөніндегі ынтымақтастығы және оның ықпалын қалыптастыру және оның әсерін «00» бөлімінен төмендетуге, ескіргенге сенеді.",Джеймс Бондты белсенді қызметтен алып тастады?,М,0,1
